model,fpr,tpr
logistic_regression,0.278699402786994,0.4951541850220264
logistic_regression,0.28021613423073277,0.4960352422907489
logistic_regression,0.28135368281353684,0.4986784140969163
logistic_regression,0.28268082282680823,0.4995594713656388
logistic_regression,0.2834391885486776,0.5004405286343613
logistic_regression,0.2849559199924163,0.5022026431718062
logistic_regression,0.2857142857142857,0.5030837004405286
logistic_regression,0.2858090814295194,0.5048458149779735
logistic_regression,0.28656744715138877,0.505726872246696
logistic_regression,0.28666224286662245,0.507488986784141
logistic_regression,0.28761020001895915,0.5083700440528635
logistic_regression,0.28779979144942647,0.5101321585903084
logistic_regression,0.28950611432363255,0.5118942731277533
logistic_regression,0.2912124371978387,0.5127753303964758
logistic_regression,0.2924447814958764,0.5145374449339207
logistic_regression,0.29509906152241916,0.5171806167400881
logistic_regression,0.2967105886813916,0.518942731277533
logistic_regression,0.30154517015830884,0.520704845814978
logistic_regression,0.3023035358801782,0.5224669603524229
logistic_regression,0.30609536448952507,0.5233480176211454
logistic_regression,0.3066641387809271,0.5251101321585903
logistic_regression,0.3073277087875628,0.5259911894273128
logistic_regression,0.30751730021803014,0.5268722466960353
logistic_regression,0.3096976016684046,0.5286343612334802
logistic_regression,0.31358422599298513,0.5295154185022026
logistic_regression,0.3165228931652289,0.5312775330396475
logistic_regression,0.3169968717413973,0.5321585903083701
logistic_regression,0.317660441748033,0.533920704845815
logistic_regression,0.317944828893734,0.5356828193832599
logistic_regression,0.31908237747653806,0.5383259911894274
logistic_regression,0.3199355389136411,0.5392070484581498
logistic_regression,0.3213574746421462,0.5400881057268723
logistic_regression,0.3215470660726135,0.5418502202643172
logistic_regression,0.32344298037728697,0.5436123348017621
logistic_regression,0.324011754668689,0.5453744493392071
logistic_regression,0.32543369039719405,0.547136563876652
logistic_regression,0.3287515404303725,0.5488986784140969
logistic_regression,0.33406010048345813,0.5497797356828193
logistic_regression,0.3348184662053275,0.5515418502202644
logistic_regression,0.3351976490662622,0.5524229074889868
logistic_regression,0.33823111195373967,0.5533039647577093
logistic_regression,0.34003223054317944,0.5550660792951542
logistic_regression,0.3429708977154233,0.5559471365638766
logistic_regression,0.34477201630486304,0.5577092511013216
logistic_regression,0.3460991563181344,0.5585903083700441
logistic_regression,0.3464783391790691,0.5612334801762114
logistic_regression,0.3480898663380415,0.5621145374449339
logistic_regression,0.3487534363446772,0.5638766519823789
logistic_regression,0.3491326192056119,0.5647577092511014
logistic_regression,0.34960659778178027,0.5665198237885463
logistic_regression,0.3501753720731823,0.5691629955947136
logistic_regression,0.35301924353019243,0.5700440528634361
logistic_regression,0.3542515878282302,0.5718061674008811
logistic_regression,0.35567352355673526,0.5726872246696035
logistic_regression,0.35652668499383827,0.5744493392070484
logistic_regression,0.35700066357000665,0.5770925110132159
