threshold,precision,recall,f1
0.0531870317573051,0.2107265119817421,0.4881057268722467,0.29436769394261425
0.0531877551180506,0.21080669710806696,0.4881057268722467,0.2944459208078661
0.0532421023106237,0.21088694328130947,0.4881057268722467,0.29452418926103135
0.0532437627527117,0.21096725057121096,0.4881057268722467,0.29460249933528315
0.0532460177884447,0.21104761904761904,0.4881057268722467,0.29468085106382974
0.0532704441546222,0.2111280487804878,0.4881057268722467,0.29475924447991486
0.0533104575548937,0.211208539839878,0.4881057268722467,0.29483767961681745
0.0533252137230367,0.2112890922959573,0.4881057268722467,0.294916156507852
0.0533339086014447,0.21098817245326212,0.48722466960352423,0.2944621938232162
0.0533461793368915,0.21106870229007635,0.48722466960352423,0.2945406125166445
0.0533872282077733,0.21076746849942726,0.4863436123348018,0.2940863079381993
0.0534631171086341,0.2108479755538579,0.4863436123348018,0.29416466826538773
0.053491196316542,0.21092854413450515,0.4863436123348018,0.2942430703624733
0.053574472871853,0.21100917431192662,0.4863436123348018,0.29432151426286324
0.0536342651319402,0.21108986615678776,0.4863436123348018,0.2944
0.0536356471150524,0.2111706197398623,0.4863436123348018,0.294478527607362
0.053675227619508,0.21125143513203215,0.4863436123348018,0.2945570971184632
0.0537308683515667,0.2113323124042879,0.4863436123348018,0.2946357085668535
0.0537777192365641,0.21141325162772884,0.4863436123348018,0.2947143619861185
0.0537841838558972,0.2111111111111111,0.48546255506607927,0.29425901201602134
0.0538163410821254,0.21119202759678038,0.48546255506607927,0.29433760683760685
0.0538191918263808,0.21127300613496933,0.48546255506607927,0.29441624365482233
0.0538651544999283,0.21135404679708478,0.48546255506607927,0.2944949225013362
0.053865383582322,0.21143514965464313,0.48546255506607927,0.29457364341085274
0.0540090154879817,0.21151631477927063,0.48546255506607927,0.2946524064171123
0.0540548314044836,0.21159754224270352,0.48546255506607927,0.29473121155389137
0.0540567302888009,0.2116788321167883,0.48546255506607927,0.29481005885500267
0.0540641050744713,0.21176018447348194,0.48546255506607927,0.2948889483542949
0.0541068584222808,0.21184159938485198,0.48546255506607927,0.29496788008565306
0.0541195252803011,0.21192307692307694,0.48546255506607927,0.29504685408299863
0.0541226143454861,0.21200461716044633,0.48546255506607927,0.29512587038028926
0.0541774017194444,0.21170130869899922,0.4845814977973568,0.2946691668899009
0.0542023676484848,0.21139776665383134,0.48370044052863437,0.2942122186495177
0.0542134072219943,0.21147919876733437,0.48370044052863437,0.29429107477887967
0.0542680770091221,0.2115606936416185,0.48370044052863437,0.2943699731903485
0.0543187385688854,0.21164225134926754,0.48370044052863437,0.2944489139179405
0.0543428650149258,0.21172387196297723,0.48370044052863437,0.29452789699570814
0.0543644246110583,0.21180555555555555,0.48370044052863437,0.2946069224577408
0.0543963806909322,0.2118873021999228,0.48370044052863437,0.2946859903381643
0.0544026327988076,0.21196911196911197,0.48370044052863437,0.2947651006711409
0.0544153342583544,0.21205098493626884,0.48370044052863437,0.29484425349087
0.0544403143642607,0.21213292117465224,0.48370044052863437,0.29492344883158744
0.0544888891966787,0.21221492075763432,0.48370044052863437,0.2950026867275658
0.0544961657427734,0.2122969837587007,0.48370044052863437,0.2950819672131148
0.0545619339944038,0.21199226305609284,0.4828193832599119,0.2946236559139785
0.0545713454168433,0.211687306501548,0.4819383259911894,0.2941650981446625
0.054604749126105,0.21176926054974834,0.4819383259911894,0.29424421732114037
0.0546441393758579,0.21185127807900853,0.4819383259911894,0.2943233790691418
0.0546937306975769,0.21193335916311506,0.4819383259911894,0.2944025834230355
0.0546969020674152,0.21201550387596899,0.4819383259911894,0.2944818304172275
0.0547160461002315,0.2120977122915859,0.4819383259911894,0.2945611200861605
0.0547348708761311,0.2121799844840962,0.4819383259911894,0.2946404524643146
